x,t,u
0.0,0.0,0.0003270097
0.0,0.01010101,0.00043657795
0.0,0.02020202,0.0005629249
0.0,0.030303031,0.0007027127
0.0,0.04040404,0.0008531846
0.0,0.05050505,0.0010116883
0.0,0.060606062,0.0011757798
0.0,0.07070707,0.0013434179
0.0,0.08080808,0.0015127398
0.0,0.09090909,0.0016818084
0.0,0.1010101,0.001849357
0.0,0.11111111,0.0020139106
0.0,0.121212125,0.0021747388
0.0,0.13131313,0.0023307838
0.0,0.14141414,0.0024809726
0.0,0.15151516,0.002624888
0.0,0.16161616,0.0027619787
0.0,0.17171717,0.0028917827
0.0,0.18181819,0.0030141063
0.0,0.1919192,0.0031285621
0.0,0.2020202,0.0032352842
0.0,0.21212122,0.0033340342
0.0,0.22222222,0.0034246482
0.0,0.23232323,0.003507454
0.0,0.24242425,0.0035822876
0.0,0.25252524,0.0036495812
0.0,0.26262626,0.0037093498
0.0,0.27272728,0.0037619062
0.0,0.28282827,0.003807161
0.0,0.2929293,0.0038456656
0.0,0.3030303,0.0038775243
0.0,0.3131313,0.0039030649
0.0,0.32323232,0.003922481
0.0,0.33333334,0.003936056
0.0,0.34343433,0.0039441325
0.0,0.35353535,0.003946949
0.0,0.36363637,0.003944818
0.0,0.37373737,0.0039377846
0.0,0.3838384,0.003926296
0.0,0.3939394,0.003910754
0.0,0.4040404,0.003890846
0.0,0.41414142,0.0038673617
0.0,0.42424244,0.0038402565
0.0,0.43434343,0.0038097687
0.0,0.44444445,0.0037762262
0.0,0.45454547,0.0037395991
0.0,0.46464646,0.00370026
0.0,0.47474748,0.0036581643
0.0,0.4848485,0.003613595
0.0,0.4949495,0.0035667606
0.0,0.50505054,0.0035176314
0.0,0.5151515,0.0034664012
0.0,0.5252525,0.003413204
0.0,0.53535354,0.0033579953
0.0,0.5454545,0.0033010729
0.0,0.5555556,0.003242556
0.0,0.56565654,0.0031823702
0.0,0.57575756,0.0031203367
0.0,0.5858586,0.003056977
0.0,0.5959596,0.002992142
0.0,0.6060606,0.0029257126
0.0,0.6161616,0.0028581358
0.0,0.62626266,0.002788905
0.0,0.6363636,0.0027184375
0.0,0.64646465,0.0026466586
0.0,0.65656567,0.002573464
0.0,0.6666666,0.0024990477
0.0,0.6767677,0.0024232157
0.0,0.68686867,0.0023460574
0.0,0.6969697,0.0022674985
0.0,0.7070707,0.002187524
0.0,0.7171717,0.0021063574
0.0,0.72727275,0.0020236112
0.0,0.7373737,0.0019395836
0.0,0.7474748,0.0018540807
0.0,0.75757575,0.0017671771
0.0,0.7676768,0.0016786642
0.0,0.7777778,0.0015886314
0.0,0.78787875,0.0014969595
0.0,0.79797983,0.0014037229
0.0,0.8080808,0.0013089813
0.0,0.8181818,0.0012123175
0.0,0.82828283,0.0011140592
0.0,0.83838385,0.0010140277
0.0,0.8484849,0.0009122528
0.0,0.85858583,0.00080861524
0.0,0.86868685,0.0007032044
0.0,0.8787879,0.00059572235
0.0,0.8888889,0.00048630312
0.0,0.8989899,0.00037503615
0.0,0.9090909,0.0002615489
0.0,0.9191919,0.00014612451
0.0,0.9292929,2.855435e-05
0.0,0.93939394,-9.104237e-05
0.0,0.94949496,-0.00021278486
0.0,0.959596,-0.00033685192
0.0,0.969697,-0.00046316907
0.0,0.97979796,-0.0005916469
0.0,0.989899,-0.0007224344
0.0,1.0,-0.00085551664
0.01010101,0.0,0.03180367
0.01010101,0.01010101,0.031632517
0.01010101,0.02020202,0.03147583
0.01010101,0.030303031,0.03133114
0.01010101,0.04040404,0.031195957
0.01010101,0.05050505,0.031068001
0.01010101,0.060606062,0.030945662
0.01010101,0.07070707,0.030826602
0.01010101,0.08080808,0.030709524
0.01010101,0.09090909,0.030593146
0.01010101,0.1010101,0.030476335
0.01010101,0.11111111,0.03035805
0.01010101,0.121212125,0.030237261
0.01010101,0.13131313,0.030113447
0.01010101,0.14141414,0.029986072
0.01010101,0.15151516,0.029854301
0.01010101,0.16161616,0.029718254
0.01010101,0.17171717,0.029577065
0.01010101,0.18181819,0.029431019
0.01010101,0.1919192,0.029279847
0.01010101,0.2020202,0.029123519
0.01010101,0.21212122,0.02896199
0.01010101,0.22222222,0.028795216
0.01010101,0.23232323,0.028623287
0.01010101,0.24242425,0.028446559
0.01010101,0.25252524,0.028264854
0.01010101,0.26262626,0.02807856
0.01010101,0.27272728,0.027888108
